instance,num_ants,alpha,beta,evaporation_rate,version,cost,duration
100_20_47_9.def,30,1.0,5.0,0.1,1,134947,147
100_20_47_9.def,30,1.0,5.0,0.1,2,56190,1150
100_20_47_9.def,30,1.0,5.0,0.5,1,136614,147
100_20_47_9.def,30,1.0,5.0,0.5,2,56190,1150
100_20_47_9.def,30,1.0,5.0,0.9,1,131817,146
100_20_47_9.def,30,1.0,5.0,0.9,2,56190,1078
100_20_47_9.def,30,5.0,1.0,0.1,1,130143,128
100_20_47_9.def,30,5.0,1.0,0.1,2,56257,1214
100_20_47_9.def,30,5.0,1.0,0.5,1,130885,136
100_20_47_9.def,30,5.0,1.0,0.5,2,56299,1200
100_20_47_9.def,30,5.0,1.0,0.9,1,131379,142
100_20_47_9.def,30,5.0,1.0,0.9,2,62938,1065
100_20_47_9.def,30,1.0,1.0,0.1,1,130650,134
100_20_47_9.def,30,1.0,1.0,0.1,2,56190,1190
100_20_47_9.def,30,1.0,1.0,0.5,1,131742,144
100_20_47_9.def,30,1.0,1.0,0.5,2,56190,1190
100_20_47_9.def,30,1.0,1.0,0.9,1,131553,142
100_20_47_9.def,30,1.0,1.0,0.9,2,56232,1191
200_40_45_9.def,1,1.0,5.0,0.1,1,277095,161
200_40_45_9.def,1,1.0,5.0,0.1,2,79979,2663
200_40_45_9.def,1,1.0,5.0,0.5,1,274626,151
200_40_45_9.def,1,1.0,5.0,0.5,2,79979,2663
200_40_45_9.def,1,1.0,5.0,0.9,1,275938,151
200_40_45_9.def,1,1.0,5.0,0.9,2,79990,2663
200_40_45_9.def,1,5.0,1.0,0.1,1,280096,165
200_40_45_9.def,1,5.0,1.0,0.1,2,80005,2663
200_40_45_9.def,1,5.0,1.0,0.5,1,278427,138
200_40_45_9.def,1,5.0,1.0,0.5,2,80045,2663
200_40_45_9.def,1,5.0,1.0,0.9,1,269757,160
200_40_45_9.def,1,5.0,1.0,0.9,2,80128,2663
200_40_45_9.def,1,1.0,1.0,0.1,1,277331,164
200_40_45_9.def,1,1.0,1.0,0.1,2,79979,2663
200_40_45_9.def,1,1.0,1.0,0.5,1,272795,159
200_40_45_9.def,1,1.0,1.0,0.5,2,79992,2663
200_40_45_9.def,1,1.0,1.0,0.9,1,279629,143
200_40_45_9.def,1,1.0,1.0,0.9,2,80014,2663
200_40_45_9.def,30,1.0,5.0,0.1,1,277610,147
200_40_45_9.def,30,1.0,5.0,0.1,2,79979,2663
200_40_45_9.def,30,1.0,5.0,0.5,1,275168,148
200_40_45_9.def,30,1.0,5.0,0.5,2,79990,2663
200_40_45_9.def,30,1.0,5.0,0.9,1,278511,133
200_40_45_9.def,30,1.0,5.0,0.9,2,80021,2663
200_40_45_9.def,30,5.0,1.0,0.1,1,281259,144
200_40_45_9.def,30,5.0,1.0,0.1,2,80217,2856
200_40_45_9.def,30,5.0,1.0,0.5,1,279420,136
200_40_45_9.def,30,5.0,1.0,0.5,2,80828,2743
200_40_45_9.def,30,5.0,1.0,0.9,1,275560,139
200_40_45_9.def,30,5.0,1.0,0.9,2,89339,2307
200_40_45_9.def,30,1.0,1.0,0.1,1,274987,140
200_40_45_9.def,30,1.0,1.0,0.1,2,80030,2663
200_40_45_9.def,30,1.0,1.0,0.5,1,272039,138
200_40_45_9.def,30,1.0,1.0,0.5,2,80053,2664
200_40_45_9.def,30,1.0,1.0,0.9,1,275261,137
200_40_45_9.def,30,1.0,1.0,0.9,2,80277,2663
200_40_90_9.def,1,1.0,5.0,0.1,1,307169,205
200_40_90_9.def,1,1.0,5.0,0.1,2,82177,2394
200_40_90_9.def,1,1.0,5.0,0.5,1,300790,213
200_40_90_9.def,1,1.0,5.0,0.5,2,82177,2394
200_40_90_9.def,1,1.0,5.0,0.9,1,291743,181
200_40_90_9.def,1,1.0,5.0,0.9,2,82177,2394
200_40_90_9.def,1,5.0,1.0,0.1,1,298965,169
200_40_90_9.def,1,5.0,1.0,0.1,2,82177,2355
200_40_90_9.def,1,5.0,1.0,0.5,1,297784,180
200_40_90_9.def,1,5.0,1.0,0.5,2,82177,2394
200_40_90_9.def,1,5.0,1.0,0.9,1,299543,170
200_40_90_9.def,1,5.0,1.0,0.9,2,82538,2363
200_40_90_9.def,1,1.0,1.0,0.1,1,300236,187
200_40_90_9.def,1,1.0,1.0,0.1,2,82177,2394
200_40_90_9.def,1,1.0,1.0,0.5,1,299560,180
200_40_90_9.def,1,1.0,1.0,0.5,2,82177,2394
200_40_90_9.def,1,1.0,1.0,0.9,1,302292,175
200_40_90_9.def,1,1.0,1.0,0.9,2,82177,2394
200_40_90_9.def,30,1.0,5.0,0.1,1,298667,171
200_40_90_9.def,30,1.0,5.0,0.1,2,82177,2366
200_40_90_9.def,30,1.0,5.0,0.5,1,301064,170
200_40_90_9.def,30,1.0,5.0,0.5,2,82177,2448
200_40_90_9.def,30,1.0,5.0,0.9,1,291317,169
200_40_90_9.def,30,1.0,5.0,0.9,2,82177,2468
200_40_90_9.def,30,5.0,1.0,0.1,1,296602,157
200_40_90_9.def,30,5.0,1.0,0.1,2,82212,2384
200_40_90_9.def,30,5.0,1.0,0.5,1,293661,160
200_40_90_9.def,30,5.0,1.0,0.5,2,82533,2355
200_40_90_9.def,30,5.0,1.0,0.9,1,298970,159
200_40_90_9.def,30,5.0,1.0,0.9,2,88434,2103
200_40_90_9.def,30,1.0,1.0,0.1,1,301698,165
200_40_90_9.def,30,1.0,1.0,0.1,2,82177,2523
200_40_90_9.def,30,1.0,1.0,0.5,1,296929,161
200_40_90_9.def,30,1.0,1.0,0.5,2,82177,2300
200_40_90_9.def,30,1.0,1.0,0.9,1,298726,157
200_40_90_9.def,30,1.0,1.0,0.9,2,82412,2572
100_5_48_9.def,1,1.0,5.0,0.1,1,198214,547
100_5_48_9.def,1,1.0,5.0,0.1,2,178346,1248
100_5_48_9.def,1,1.0,5.0,0.5,1,196626,681
100_5_48_9.def,1,1.0,5.0,0.5,2,178346,1249
100_5_48_9.def,1,1.0,5.0,0.9,1,195051,594
100_5_48_9.def,1,1.0,5.0,0.9,2,178346,1283
100_5_48_9.def,1,5.0,1.0,0.1,1,196331,545
100_5_48_9.def,1,5.0,1.0,0.1,2,178346,1248
100_5_48_9.def,1,5.0,1.0,0.5,1,196849,505
100_5_48_9.def,1,5.0,1.0,0.5,2,178346,1248
100_5_48_9.def,1,5.0,1.0,0.9,1,197140,544
100_5_48_9.def,1,5.0,1.0,0.9,2,178346,1240
100_5_48_9.def,1,1.0,1.0,0.1,1,196827,562
100_5_48_9.def,1,1.0,1.0,0.1,2,178346,1248
100_5_48_9.def,1,1.0,1.0,0.5,1,197799,577
100_5_48_9.def,1,1.0,1.0,0.5,2,178346,1248
100_5_48_9.def,1,1.0,1.0,0.9,1,194672,531
100_5_48_9.def,1,1.0,1.0,0.9,2,178346,1248
100_5_48_9.def,30,1.0,5.0,0.1,1,196634,544
100_5_48_9.def,30,1.0,5.0,0.1,2,178346,1248
100_5_48_9.def,30,1.0,5.0,0.5,1,196313,536
100_5_48_9.def,30,1.0,5.0,0.5,2,178346,1248
100_5_48_9.def,30,1.0,5.0,0.9,1,195272,555
100_5_48_9.def,30,1.0,5.0,0.9,2,178346,1283
100_5_48_9.def,30,5.0,1.0,0.1,1,194763,503
100_5_48_9.def,30,5.0,1.0,0.1,2,178346,1358
100_5_48_9.def,30,5.0,1.0,0.5,1,195624,504
100_5_48_9.def,30,5.0,1.0,0.5,2,178346,1346
100_5_48_9.def,30,5.0,1.0,0.9,1,196653,513
100_5_48_9.def,30,5.0,1.0,0.9,2,179111,1216
100_5_48_9.def,30,1.0,1.0,0.1,1,195410,505
100_5_48_9.def,30,1.0,1.0,0.1,2,178346,1323
100_5_48_9.def,30,1.0,1.0,0.5,1,195143,480
100_5_48_9.def,30,1.0,1.0,0.5,2,178346,1323
